PILL,BEER,PILL,BEER,PILL,BEER
DEPR,PILL,BEER,PILL,BEER,PILL
BEER,RAGE,BEER,RAGE,BEER,BEER
PILL,BEER,SLAK,BEER,SLAK,PILL
RAGE,PILL,BEER,KARE,BEER,BEER
BEER,SLAK,PILL,BEER,PILL,PILL
SLAK,BEER,KARE,PILL,BEER,BEER
BEER,KARE,BEER,METH,PILL,PILL
KARE,BEER,METH,BEER,CIGA,BEER
BEER,METH,BEER,CIGA,BEER,PILL
METH,BEER,PILL,BEER,PILL,BEER
BEER,CIGA,BEER,PILL,BEER,PILL
WILD,BEER,PILL,BEER,PILL,BEER
BEER,PILL,BEER,PILL,BEER,PILL
PILL,BEER,PILL,BEER,PILL,BEER
BEER,PILL,BEER,PILL,BEER,PILL
PILL,BEER,PILL,BEER,PILL,BEER
DEPR,PILL,BEER,PILL,BEER,PILL
BEER,RAGE,BEER,RAGE,BEER,BEER
RAGE,BEER,SLAK,BEER,SLAK,PILL
BEER,SLAK,BEER,KARE,BEER,BEER
SLAK,BEER,KARE,BEER,METH,PILL
BEER,KARE,BEER,METH,BEER,BEER
KARE,BEER,METH,BEER,PILL,PILL
BEER,METH,BEER,PILL,BEER,BEER
EGG,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
WILD,BEER,BEER,BEER,BEER,BEER
BEER,PILL,PILL,PILL,PILL,PILL
PILL,DEPR,BEER,DEPR,BEER,BEER
DEPR,BEER,RAGE,BEER,RAGE,PILL
BEER,RAGE,BEER,SLAK,BEER,BEER
RAGE,BEER,SLAK,BEER,KARE,PILL
BEER,SLAK,BEER,KARE,BEER,BEER
SLAK,BEER,KARE,BEER,PILL,PILL
BEER,KARE,BEER,PILL,BEER,BEER
KARE,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
EGG,BEER,BEER,BEER,BEER,BEER
BEER,PILL,PILL,PILL,PILL,PILL
PILL,BEER,BEER,BEER,BEER,BEER
BEER,PILL,PILL,PILL,PILL,PILL
PILL,BEER,BEER,BEER,BEER,BEER
DEPR,PILL,PILL,PILL,PILL,PILL
BEER,RAGE,BEER,RAGE,BEER,BEER
RAGE,BEER,SLAK,BEER,SLAK,PILL
BEER,SLAK,BEER,KARE,BEER,BEER
SLAK,BEER,KARE,BEER,PILL,PILL
BEER,KARE,BEER,PILL,BEER,BEER
WILD,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
DEPR,BEER,BEER,BEER,BEER,BEER
BEER,RAGE,PILL,PILL,PILL,PILL
RAGE,BEER,SLAK,BEER,SLAK,BEER
BEER,SLAK,BEER,KARE,BEER,PILL
SLAK,BEER,KARE,BEER,PILL,BEER
BEER,KARE,BEER,PILL,BEER,PILL
KARE,BEER,PILL,BEER,PILL,BEER
EGG,PILL,BEER,PILL,BEER,PILL
BEER,BEER,PILL,BEER,PILL,BEER
PILL,PILL,BEER,PILL,BEER,PILL
BEER,BEER,PILL,BEER,PILL,BEER
PILL,PILL,BEER,PILL,BEER,PILL
WILD,BEER,PILL,BEER,PILL,BEER
BEER,PILL,BEER,PILL,BEER,PILL
PILL,DEPR,BEER,DEPR,BEER,BEER
DEPR,BEER,RAGE,BEER,RAGE,PILL
BEER,RAGE,BEER,SLAK,BEER,BEER
RAGE,BEER,SLAK,BEER,KARE,PILL
BEER,SLAK,BEER,KARE,BEER,BEER
SLAK,BEER,KARE,BEER,PILL,PILL
BEER,KARE,BEER,PILL,BEER,BEER
KARE,BEER,PILL,BEER,PILL,PILL
EGG,PILL,BEER,PILL,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
PILL,PILL,BEER,PILL,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
PILL,PILL,BEER,PILL,BEER,BEER
WILD,BEER,PILL,BEER,PILL,PILL
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
DEPR,BEER,BEER,BEER,BEER,BEER
BEER,RAGE,PILL,PILL,PILL,PILL
RAGE,BEER,SLAK,BEER,SLAK,BEER
BEER,SLAK,BEER,KARE,BEER,PILL
SLAK,BEER,KARE,BEER,PILL,BEER
BEER,KARE,BEER,PILL,BEER,PILL
KARE,BEER,PILL,BEER,PILL,BEER
BEER,PILL,BEER,PILL,BEER,PILL
PILL,BEER,PILL,BEER,PILL,BEER
EGG,PILL,BEER,PILL,BEER,PILL
