TICK,CIGT,PILL,BEER,CIGA,TICK
PILL,BEER,CIGT,PILL,BEER,PILL
BEER,PILL,BEER,CIGT,PILL,BEER
CIGT,TICK,TICK,TICK,TICK,CIGT
PILL,BEER,PILL,BEER,BEER,PILL
BEER,CIGT,BEER,PILL,PILL,BEER
TICK,PILL,CIGT,CIGT,CIGA,TICK
CIGA,BEER,PILL,TICK,BEER,PILL
METH,PILL,BEER,BEER,PILL,BEER
CIGT,TICK,TICK,PILL,TICK,CIGT
KARE,BEER,PILL,CIGT,BEER,METH
PILL,PILL,BEER,BEER,PILL,PILL
SLAK,CIGT,TICK,PILL,CIGT,BEER
BEER,METH,BEER,BEER,BEER,TICK
PILL,BEER,PILL,CIGT,METH,PILL
RAGE,PILL,BEER,TICK,PILL,BEER
CIGT,BEER,CIGT,BEER,BEER,CIGT
BEER,TICK,PILL,PILL,PILL,BEER
PILL,BEER,BEER,BEER,CIGA,PILL
TICK,PILL,CIGT,CIGT,BEER,TICK
DEPR,CIGT,PILL,PILL,TICK,BEER
PILL,BEER,BEER,BEER,PILL,PILL
BEER,PILL,TICK,CIGT,BEER,BEER
CIGT,BEER,BEER,BEER,PILL,CIGT
METH,PILL,PILL,PILL,BEER,PILL
BEER,CIGT,BEER,TICK,CIGT,BEER
PILL,BEER,PILL,BEER,BEER,PILL
KARE,PILL,CIGT,PILL,PILL,METH
BEER,BEER,BEER,BEER,BEER,BEER
CIGT,TICK,PILL,CIGT,CIGT,PILL
PILL,BEER,BEER,BEER,BEER,BEER
EGG,PILL,TICK,PILL,PILL,TICK
BEER,BEER,BEER,BEER,TICK,BEER
PILL,CIGT,PILL,CIGT,BEER,PILL
SLAK,BEER,BEER,BEER,PILL,BEER
TICK,PILL,PILL,PILL,BEER,CIGT
BEER,BEER,CIGT,BEER,PILL,BEER
PILL,PILL,BEER,CIGT,BEER,PILL
CIGA,BEER,PILL,BEER,CIGT,BEER
BEER,TICK,BEER,PILL,BEER,PILL
PILL,BEER,PILL,BEER,PILL,BEER
RAGE,PILL,BEER,TICK,BEER,TICK
BEER,BEER,CIGT,BEER,PILL,BEER
CIGT,PILL,BEER,PILL,BEER,PILL
PILL,BEER,PILL,BEER,CIGT,BEER
METH,TICK,BEER,CIGT,BEER,PILL
BEER,BEER,PILL,BEER,PILL,BEER
PILL,PILL,BEER,PILL,BEER,CIGT
TICK,BEER,CIGT,BEER,PILL,BEER
KARE,PILL,BEER,PILL,BEER,PILL
BEER,BEER,PILL,BEER,TICK,BEER
PILL,CIGT,BEER,CIGT,BEER,PILL
BEER,BEER,PILL,BEER,PILL,BEER
CIGT,PILL,BEER,PILL,BEER,TICK
BEER,BEER,TICK,BEER,PILL,BEER
PILL,PILL,BEER,PILL,BEER,PILL
SLAK,BEER,PILL,BEER,CIGT,BEER
BEER,TICK,BEER,CIGT,BEER,PILL
PILL,BEER,PILL,BEER,PILL,BEER
TICK,PILL,BEER,PILL,BEER,BEER
BEER,BEER,CIGT,BEER,TICK,PILL
PILL,PILL,BEER,PILL,BEER,BEER
CIGA,BEER,PILL,BEER,PILL,CIGT
EGG,CIGT,BEER,TICK,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
PILL,PILL,BEER,PILL,BEER,BEER
DEPR,BEER,TICK,BEER,CIGT,TICK
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
METH,TICK,BEER,CIGT,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
PILL,PILL,BEER,PILL,BEER,BEER
RAGE,BEER,CIGT,BEER,TICK,CIGT
BEER,PILL,BEER,PILL,BEER,BEER
CIGT,BEER,PILL,BEER,PILL,PILL
PILL,TICK,BEER,CIGT,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
KARE,PILL,BEER,PILL,BEER,BEER
BEER,BEER,TICK,BEER,CIGT,TICK
PILL,PILL,BEER,PILL,BEER,BEER
TICK,BEER,PILL,BEER,PILL,PILL
BEER,CIGT,BEER,CIGT,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
CIGA,PILL,BEER,PILL,BEER,BEER
EGG,BEER,CIGT,BEER,TICK,CIGT
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
SLAK,TICK,BEER,CIGT,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
PILL,PILL,BEER,PILL,BEER,BEER
METH,BEER,TICK,BEER,CIGT,TICK
BEER,PILL,BEER,PILL,BEER,BEER
CIGT,BEER,PILL,BEER,PILL,PILL
PILL,CIGT,BEER,CIGT,BEER,BEER
BEER,BEER,PILL,BEER,PILL,PILL
TICK,PILL,BEER,PILL,BEER,BEER
RAGE,BEER,CIGT,BEER,TICK,CIGT
BEER,PILL,BEER,PILL,BEER,BEER
PILL,BEER,PILL,BEER,PILL,PILL
KARE,TICK,BEER,CIGT,BEER,BEER
